area_sqft,bedrooms,age_years,distance_city_km,price_lakh,price_per_sqft,age_category
518.0,3.0,14.0,20.4,46.8,9034.749034749035,Mid
2308.0,4.0,39.0,11.0,132.3,5732.235701906413,Old
2931.0,4.0,10.0,9.7,168.2,5738.655748891163,New
2587.0,3.0,8.0,3.1,134.0,5179.74487823734,New
2395.0,1.0,27.0,11.9,100.9,4212.94363256785,Mid
840.0,2.0,16.0,22.1,61.3,7297.619047619048,Mid
2260.0,3.0,6.0,14.8,132.4,5858.407079646017,New
2304.0,3.0,14.0,2.2,143.6,6232.638888888889,Mid
2514.0,3.0,0.0,12.7,147.0,5847.255369928401,
2263.0,5.0,14.0,18.5,115.4,5099.425541316836,Mid
1463.0,3.0,22.0,8.3,93.7,6404.647983595352,Mid
2000.0,1.0,38.0,6.0,82.4,4120.000000000001,Old
2794.0,4.0,0.0,22.1,131.5,4706.513958482463,
517.0,4.0,9.0,17.9,66.8,12920.696324951645,New
815.0,2.0,24.0,17.0,50.0,6134.9693251533745,Mid
1736.0,3.0,23.0,2.6,118.3,6814.5161290322585,Mid
1543.0,4.0,24.0,15.9,112.7,7303.953337653921,Mid
1110.0,2.0,36.0,1.1,76.1,6855.855855855855,Old
2165.0,3.0,12.0,16.0,131.6,6078.521939953811,Mid
2676.0,2.0,10.0,15.5,129.7,4846.786248131539,New
1322.0,5.0,32.0,8.1,102.6,7760.968229954614,Old
2613.0,3.0,19.0,10.2,138.6,5304.247990815155,Mid
1656.0,2.0,39.0,12.7,82.3,4969.806763285024,Old
500.0,3.0,31.0,17.0,28.4,5680.0,Old
517.0,3.0,2.0,22.6,55.7,10773.694390715667,New
1402.0,2.0,19.0,1.4,85.7,6112.696148359487,Mid
2436.0,3.0,3.0,6.8,130.9,5373.563218390805,New
1940.0,5.0,24.0,13.6,113.1,5829.896907216495,Mid
1479.0,2.0,30.0,15.0,87.3,5902.6369168357,Mid
1391.0,5.0,11.0,14.8,110.1,7915.168943206327,Mid
607.0,1.0,19.0,4.3,45.3,7462.932454695222,Mid
2159.0,5.0,35.0,18.4,122.6,5678.554886521538,Old
2482.0,1.0,25.0,15.9,115.0,4633.360193392426,Mid
1770.0,3.0,29.0,9.1,158.2,-31639.999999999996,Mid
1938.0,1.0,21.0,22.9,80.5,4153.7667698658415,Mid
1672.0,4.0,25.0,3.4,96.7,5783.492822966507,Mid
545.0,1.0,0.0,11.6,33.7,6183.486238532111,
2684.0,2.0,25.0,17.1,134.6,5014.903129657228,Mid
1543.0,4.0,14.0,15.8,118.5,7679.8444588464035,Mid
1706.0,3.0,8.0,10.5,100.5,5890.973036342321,New
860.0,1.0,4.0,12.6,48.3,5616.279069767442,New
710.0,3.0,0.0,4.7,76.3,10746.478873239437,
2851.0,2.0,12.0,21.8,137.3,4815.854086285514,Mid
861.0,4.0,18.0,20.5,60.6,7038.327526132404,Mid
2838.0,1.0,22.0,12.6,152.6,5377.026074700493,Mid
2543.0,2.0,4.0,14.8,141.1,5548.564687377114,New
1190.0,4.0,9.0,2.8,83.6,7025.2100840336125,New
2246.0,4.0,12.0,21.3,131.0,5832.591273374888,Mid
1282.0,5.0,27.0,15.0,90.6,7067.082683307332,Mid
794.0,1.0,25.0,13.2,52.4,6599.496221662468,Mid
2005.0,2.0,8.0,7.3,86.0,4289.27680798005,New
1483.0,4.0,34.0,15.9,82.0,5529.3324342548885,Old
1468.0,2.0,21.0,11.7,85.2,5803.814713896458,Mid
1997.0,1.0,0.0,6.3,103.1,5162.744116174262,
845.0,5.0,8.0,20.0,99.7,11798.816568047338,New
2418.0,5.0,1.0,16.5,140.8,5822.994210090985,New
1714.0,4.0,14.0,5.6,83.8,4889.148191365228,Mid
2774.0,2.0,39.0,17.0,138.2,4981.97548666186,Old
1612.0,4.0,31.0,6.2,103.0,6389.578163771712,Old
782.0,3.0,3.0,5.9,65.3,8350.383631713556,New
2337.0,2.0,18.0,4.6,125.4,5365.8536585365855,Mid
740.0,2.0,22.0,18.0,64.4,8702.702702702703,Mid
1656.0,5.0,20.0,9.0,130.2,7862.318840579709,Mid
1568.0,3.0,6.0,10.3,111.1,7085.459183673469,New
2620.0,5.0,15.0,15.7,154.4,5893.1297709923665,Mid
970.0,1.0,6.0,23.7,49.8,5134.020618556701,New
1248.0,1.0,7.0,4.8,87.2,6987.179487179487,New
1585.0,4.0,39.0,12.9,90.4,5703.470031545741,Old
2936.0,3.0,13.0,23.4,149.5,5091.961852861035,Mid
550.0,5.0,11.0,22.8,83.0,15090.90909090909,Mid
1582.0,3.0,33.0,14.7,92.2,5828.065739570165,Old
805.0,3.0,12.0,22.7,44.3,5503.105590062112,Mid
2709.0,2.0,5.0,11.7,138.8,5123.661867847915,New
1595.0,1.0,4.0,19.8,87.9,5510.971786833856,New
2222.0,4.0,40.0,6.2,119.0,5355.535553555355,Old
749.0,2.0,30.0,1.3,60.5,8077.436582109479,Mid
1013.0,1.0,34.0,14.8,54.5,5380.0592300098715,Old
1232.0,4.0,20.0,12.2,105.4,8555.194805194806,Mid
1888.0,4.0,11.0,21.0,107.8,5709.745762711865,Mid
1939.0,4.0,32.0,8.3,122.7,6328.004125838061,Old
1693.0,5.0,35.0,5.8,82.7,4884.8198464264615,Old
2080.0,4.0,30.0,5.5,129.1,6206.7307692307695,Mid
2884.0,4.0,34.0,22.6,138.7,4809.292649098474,Old
1655.0,1.0,35.0,13.6,87.9,5311.178247734139,Old
1380.0,5.0,20.0,18.0,67.5,4891.304347826087,Mid
1905.0,5.0,,24.5,123.6,6488.188976377953,
1630.0,4.0,34.0,22.7,94.4,5791.411042944786,Old
2645.0,3.0,16.0,9.7,138.0,5217.391304347826,Mid
1770.0,5.0,15.0,13.0,123.7,,Mid
2937.0,3.0,24.0,18.1,158.4,5393.258426966292,Mid
1220.0,5.0,10.0,13.2,92.6,7590.163934426229,New
1060.0,1.0,20.0,11.5,58.4,5509.433962264151,Mid
1483.0,5.0,38.0,3.5,99.7,6722.85906945381,Old
2945.0,4.0,28.0,9.1,152.8,5188.455008488965,Mid
1415.0,2.0,30.0,,82.9,5858.657243816255,Mid
1432.0,2.0,31.0,17.6,71.2,4972.067039106145,Old
2085.0,5.0,19.0,4.8,111.3,5338.1294964028775,Mid
2230.0,5.0,6.0,5.4,149.6,6708.520179372197,New
1377.0,2.0,27.0,22.6,96.7,7022.512708787219,Mid
1439.0,2.0,26.0,9.2,80.0,5559.416261292564,Mid
2779.0,,5.0,15.2,168.6,6066.930550557755,New
2443.0,1.0,7.0,19.7,93.0,3806.7949242734344,New
810.0,2.0,25.0,10.4,44.8,5530.864197530864,Mid
2330.0,1.0,3.0,22.5,111.0,4763.948497854078,New
2783.0,1.0,8.0,4.1,138.2,4965.864175350341,New
604.0,2.0,29.0,18.2,50.6,8377.48344370861,Mid
1691.0,4.0,20.0,9.9,128.0,7569.485511531638,Mid
2929.0,1.0,1.0,3.3,130.1,4441.789006486855,New
2736.0,1.0,4.0,5.7,128.2,4685.672514619882,New
2215.0,2.0,24.0,2.4,137.8,6221.218961625283,Mid
2155.0,1.0,5.0,19.1,114.0,5290.023201856148,New
980.0,2.0,27.0,18.6,64.8,6612.244897959184,Mid
541.0,4.0,34.0,18.1,73.5,13585.951940850277,Old
2081.0,1.0,33.0,22.2,82.1,3945.2186448822677,Old
2666.0,4.0,25.0,18.7,137.4,5153.788447111778,Mid
1075.0,4.0,22.0,23.5,89.2,8297.67441860465,Mid
2791.0,2.0,13.0,21.1,130.6,4679.326406305983,Mid
1590.0,4.0,9.0,11.9,101.7,6396.226415094339,New
2610.0,1.0,38.0,6.5,97.0,3716.4750957854408,Old
1839.0,2.0,2.0,4.0,115.7,6291.462751495378,New
1592.0,5.0,37.0,21.0,106.3,6677.13567839196,Old
2460.0,2.0,23.0,20.7,116.0,4715.447154471544,Mid
832.0,3.0,40.0,6.2,57.7,6935.096153846154,Old
2390.0,2.0,37.0,9.3,109.4,4577.405857740586,Old
1432.0,1.0,35.0,25.0,76.5,5342.17877094972,Old
685.0,2.0,1.0,8.6,76.4,11153.284671532849,New
1300.0,3.0,27.0,9.7,92.0,7076.923076923077,Mid
1543.0,5.0,11.0,24.5,95.1,6163.318211276734,Mid
2781.0,3.0,37.0,3.9,152.5,5483.63897878461,Old
1643.0,3.0,31.0,3.5,102.6,6244.674376141205,Old
1770.0,4.0,12.0,18.0,135.5,,Mid
2754.0,2.0,20.0,1.5,155.7,5653.594771241829,Mid
1983.0,1.0,28.0,1.9,84.1,4241.048915784166,Mid
783.0,4.0,24.0,15.1,77.4,9885.057471264368,Mid
1631.0,2.0,20.0,13.3,94.8,5812.385039852851,Mid
2085.0,4.0,29.0,6.5,108.2,5189.448441247003,Mid
2727.0,3.0,30.0,4.4,144.7,5306.197286395305,Mid
1995.0,5.0,17.0,19.1,128.0,6416.040100250627,Mid
2081.0,1.0,9.0,1.5,111.1,5338.7794329649205,New
1899.0,4.0,0.0,7.2,132.5,6977.356503422854,
1279.0,5.0,6.0,4.2,112.0,8756.841282251758,New
1294.0,4.0,24.0,21.4,95.0,7341.576506955178,Mid
1967.0,5.0,30.0,18.6,118.5,6024.4026436197255,Mid
1051.0,3.0,35.0,17.0,54.0,5137.963843958135,Old
2092.0,2.0,16.0,5.1,110.5,5282.026768642448,Mid
2936.0,5.0,5.0,12.0,158.3,5391.689373297003,New
1594.0,5.0,,3.3,122.6,7691.342534504392,
2115.0,4.0,30.0,16.4,133.7,6321.513002364065,Mid
2695.0,5.0,22.0,14.9,163.6,6070.500927643785,Mid
2645.0,2.0,31.0,19.3,113.0,4272.211720226843,Old
775.0,3.0,20.0,16.6,41.6,5367.741935483871,Mid
2057.0,1.0,17.0,6.3,116.0,5639.280505590666,Mid
888.0,1.0,15.0,8.6,24.4,2747.747747747748,Mid
1985.0,3.0,30.0,10.2,107.3,5405.5415617128465,Mid
1082.0,4.0,16.0,4.2,83.0,7670.97966728281,Mid
2429.0,3.0,29.0,14.7,108.9,4483.326471799094,Mid
2080.0,5.0,8.0,17.0,143.6,6903.846153846154,New
2895.0,5.0,13.0,8.1,144.7,4998.272884283247,Mid
1281.0,2.0,34.0,19.1,73.1,5706.47931303669,Old
2909.0,2.0,9.0,11.2,119.6,4111.378480577518,New
2085.0,1.0,20.0,7.2,105.1,5040.767386091127,Mid
2342.0,4.0,27.0,21.6,110.7,4726.729291204099,Mid
652.0,1.0,23.0,23.7,50.9,7806.748466257669,Mid
2897.0,3.0,7.0,2.8,155.7,5374.525371073523,New
2824.0,2.0,23.0,19.5,122.9,4351.9830028328615,Mid
551.0,4.0,12.0,21.8,67.4,12232.30490018149,Mid
1823.0,2.0,39.0,11.8,71.5,3922.1064179923205,Old
2007.0,1.0,30.0,,98.9,4927.7528649725955,Mid
1672.0,5.0,28.0,13.2,107.5,6429.425837320574,Mid
2970.0,1.0,4.0,13.4,140.1,4717.171717171717,New
1737.0,2.0,,19.1,103.0,5929.763960852044,
2963.0,1.0,6.0,16.6,150.5,5079.3115086061425,New
2288.0,3.0,21.0,13.0,115.8,5061.188811188811,Mid
2252.0,2.0,10.0,3.0,115.5,5128.774422735346,New
2135.0,4.0,23.0,8.7,114.4,5358.31381733021,Mid
2363.0,4.0,4.0,10.0,142.5,6030.469741853576,New
930.0,1.0,14.0,15.5,48.7,5236.559139784947,Mid
1201.0,3.0,9.0,11.0,71.7,5970.024979184013,New
805.0,5.0,17.0,6.4,83.7,10397.51552795031,Mid
2526.0,3.0,30.0,2.3,132.9,5261.282660332541,Mid
1536.0,2.0,24.0,12.1,86.5,5631.510416666667,Mid
2368.0,5.0,19.0,9.6,147.9,6245.777027027027,Mid
769.0,1.0,8.0,15.4,38.9,5058.51755526658,New
990.0,2.0,33.0,8.9,42.9,4333.333333333333,Old
2744.0,4.0,4.0,19.8,144.7,5273.32361516035,New
644.0,1.0,23.0,12.2,42.3,6568.322981366459,Mid
749.0,1.0,12.0,24.1,58.9,7863.818424566088,Mid
2826.0,5.0,22.0,11.0,176.8,6256.192498230715,Mid
1739.0,1.0,27.0,20.9,78.6,4519.838987924094,Mid
655.0,3.0,38.0,23.1,55.3,8442.748091603053,Old
1138.0,,4.0,12.7,68.0,5975.395430579965,New
2889.0,1.0,36.0,11.7,129.0,4465.2128764278295,Old
2663.0,1.0,39.0,,113.5,4262.110401802478,Old
528.0,4.0,16.0,14.2,70.1,13276.51515151515,Mid
966.0,4.0,34.0,5.8,82.7,8561.076604554866,Old
2790.0,5.0,9.0,1.7,153.3,5494.623655913979,New
2462.0,5.0,38.0,2.8,128.6,5223.395613322502,Old
2979.0,4.0,9.0,24.4,153.5,5152.735817388385,New
754.0,3.0,26.0,19.7,46.4,6153.846153846154,Mid
2374.0,5.0,3.0,1.2,145.3,6120.471777590566,New
2407.0,3.0,,2.1,142.3,5911.923556294143,
2657.0,1.0,37.0,7.2,120.8,4546.480993601806,Old
2165.0,3.0,37.0,11.2,111.5,5150.115473441108,Old
1467.0,2.0,20.0,11.4,80.0,5453.306066802999,Mid
2465.0,1.0,5.0,6.5,113.3,4596.348884381338,New
2951.0,3.0,22.0,14.2,152.7,5174.517112843103,Mid
1510.0,5.0,15.0,20.9,101.7,6735.099337748345,Mid
1897.0,3.0,29.0,24.7,91.9,4844.491302055878,Mid
1896.0,2.0,13.0,3.7,116.4,6139.2405063291135,Mid
2777.0,1.0,33.0,21.9,133.1,4792.9420237666545,Old
1380.0,4.0,11.0,25.0,90.4,6550.724637681159,Mid
1660.0,2.0,35.0,16.2,97.2,5855.421686746988,Old
606.0,3.0,10.0,22.2,55.9,9224.422442244224,New
1674.0,5.0,28.0,3.6,110.4,6594.982078853047,Mid
2398.0,2.0,18.0,5.1,127.7,5325.271059216014,Mid
2234.0,5.0,15.0,,150.6,6741.271262309759,Mid
1394.0,4.0,27.0,23.3,108.1,7754.662840746055,Mid
2906.0,4.0,8.0,3.7,159.6,5492.085340674466,New
1863.0,5.0,37.0,7.1,131.8,7074.610842726785,Old
2945.0,3.0,7.0,22.8,153.6,5215.619694397284,New
2572.0,5.0,36.0,22.3,143.8,5590.979782270607,Old
1977.0,2.0,8.0,24.4,96.0,4855.842185128983,New
2276.0,1.0,12.0,8.8,99.2,4358.523725834798,Mid
2958.0,5.0,7.0,4.0,171.2,5787.694388100068,New
1555.0,2.0,12.0,14.4,103.9,6681.672025723473,Mid
2751.0,1.0,24.0,10.1,128.0,4652.85350781534,Mid
901.0,5.0,33.0,20.5,70.4,7813.540510543841,Old
1187.0,3.0,33.0,22.2,61.2,5155.855096882898,Old
2282.0,4.0,38.0,18.8,143.1,6270.815074496056,Old
888.0,1.0,15.0,13.8,39.1,4403.153153153153,Mid
2796.0,3.0,30.0,3.0,137.8,4928.469241773963,Mid
2280.0,3.0,8.0,10.6,134.1,5881.578947368421,New
2753.0,3.0,24.0,23.2,140.5,5103.52342898656,Mid
608.0,1.0,8.0,9.2,40.3,6628.28947368421,New
1054.0,1.0,1.0,3.2,90.7,8605.313092979128,New
1812.0,2.0,3.0,17.0,112.0,6181.0154525386315,New
1027.0,5.0,27.0,11.7,78.4,7633.885102239534,Mid
2075.0,3.0,9.0,15.4,122.2,5889.156626506024,New
2410.0,1.0,4.0,13.6,127.4,5286.307053941909,New
2384.0,1.0,36.0,14.9,107.3,4500.838926174497,Old
2762.0,3.0,6.0,3.3,155.1,5615.496017378711,New
1001.0,4.0,16.0,9.1,104.9,10479.520479520479,Mid
1514.0,4.0,7.0,5.0,107.1,7073.976221928666,New
1316.0,5.0,40.0,19.0,71.6,5440.729483282674,Old
1333.0,3.0,38.0,12.2,78.5,5888.972243060765,Old
816.0,5.0,24.0,23.4,88.9,10894.607843137255,Mid
2407.0,1.0,4.0,16.2,111.8,4644.786040714583,New
2440.0,4.0,27.0,19.9,141.6,5803.2786885245905,Mid
2952.0,3.0,16.0,18.3,132.1,4474.932249322494,Mid
2374.0,1.0,2.0,15.7,103.7,4368.155012636899,New
811.0,4.0,3.0,6.6,94.4,11639.950678175093,New
2381.0,3.0,33.0,19.8,124.3,5220.495590088198,Old
822.0,1.0,7.0,1.5,52.4,6374.695863746959,New
2655.0,4.0,14.0,24.2,137.8,5190.207156308852,Mid
2815.0,3.0,37.0,7.7,137.0,4866.785079928952,Old
2642.0,5.0,21.0,20.9,141.6,5359.576078728236,Mid
2463.0,2.0,17.0,1.3,125.7,5103.53227771011,Mid
1884.0,5.0,23.0,9.0,127.6,6772.823779193206,Mid
2710.0,4.0,28.0,5.7,122.9,4535.055350553505,Mid
1781.0,1.0,1.0,9.5,90.9,5103.874227961819,New
1870.0,2.0,24.0,2.1,87.2,4663.101604278075,Mid
509.0,4.0,19.0,16.2,55.6,10923.379174852653,Mid
1955.0,2.0,6.0,17.5,101.8,5207.161125319693,New
866.0,4.0,22.0,11.4,53.8,6212.471131639722,Mid
1561.0,3.0,29.0,19.7,87.2,5586.162716207559,Mid
1770.0,3.0,16.0,6.2,138.0,,Mid
1259.0,5.0,21.0,5.0,90.3,7172.359015091342,Mid
900.0,4.0,40.0,15.4,63.6,7066.666666666667,Old
729.0,2.0,33.0,14.6,32.0,4389.574759945131,Old
1852.0,4.0,35.0,4.0,103.4,5583.153347732182,Old
543.0,3.0,14.0,15.2,35.0,6445.672191528545,Mid
1779.0,1.0,31.0,10.5,90.5,5087.1275997751545,Old
2613.0,3.0,31.0,4.6,144.1,5514.734022196709,Old
1039.0,1.0,11.0,9.6,73.5,7074.109720885467,Mid
667.0,5.0,5.0,13.4,71.7,10749.625187406296,New
770.0,5.0,6.0,8.6,98.2,12753.246753246753,New
1646.0,1.0,33.0,22.5,52.5,3189.55042527339,Old
2541.0,3.0,2.0,3.0,151.0,5942.54230617867,New
1191.0,10.0,24.0,4.8,81.3,6826.196473551638,Mid
2000.0,1.0,24.0,20.5,82.9,4145.000000000001,Mid
2137.0,4.0,29.0,22.6,118.4,5540.477304632663,Mid
1711.0,1.0,37.0,1.3,80.4,4699.006428988896,Old
577.0,3.0,36.0,19.3,47.2,8180.242634315425,Old
1402.0,3.0,7.0,5.1,101.0,7203.994293865906,New
688.0,2.0,16.0,16.6,60.2,8750.0,Mid
1603.0,1.0,35.0,14.8,69.5,4335.620711166563,Old
2486.0,3.0,25.0,22.9,116.6,4690.265486725663,Mid
2538.0,1.0,25.0,16.0,137.7,5425.531914893616,Mid
2707.0,2.0,25.0,12.4,134.1,4953.82342076099,Mid
1989.0,5.0,4.0,11.1,138.5,6963.298139768728,New
946.0,1.0,29.0,10.7,47.2,4989.429175475687,Mid
2352.0,5.0,28.0,20.8,118.0,5017.006802721088,Mid
1288.0,5.0,28.0,1.9,93.8,7282.608695652174,Mid
2253.0,4.0,28.0,3.2,128.3,5694.62938304483,Mid
1227.0,3.0,40.0,12.5,65.2,5313.773431132844,Old
1770.0,5.0,28.0,13.0,123.8,-24760.0,Mid
1693.0,4.0,32.0,21.8,109.6,6473.715298287065,Old
1233.0,4.0,6.0,19.7,92.3,7485.80697485807,New
1823.0,5.0,15.0,12.9,130.2,7142.0735052111895,Mid
1072.0,2.0,38.0,9.1,60.8,5671.641791044776,Old
1546.0,5.0,17.0,16.4,117.4,7593.79042690815,Mid
2899.0,4.0,24.0,4.2,155.1,5350.120731286651,Mid
2305.0,3.0,14.0,6.2,145.5,6312.36442516269,Mid
508.0,1.0,26.0,1.4,25.2,4960.629921259842,Mid
603.0,2.0,32.0,14.5,33.9,5621.890547263682,Old
1864.0,2.0,31.0,9.0,101.5,5445.278969957081,Old
2719.0,1.0,22.0,19.4,114.9,4225.8183155571905,Mid
1559.0,4.0,7.0,24.3,100.5,6446.440025657473,New
2646.0,2.0,27.0,4.2,128.3,4848.828420256992,Mid
1030.0,4.0,10.0,13.4,81.2,7883.495145631068,New
1785.0,1.0,34.0,3.4,87.5,4901.9607843137255,Old
846.0,1.0,29.0,11.1,48.0,5673.758865248227,Mid
2050.0,1.0,29.0,9.0,94.9,4629.268292682927,Mid
2664.0,1.0,7.0,10.7,133.3,5003.753753753755,New
2849.0,5.0,32.0,18.6,153.2,5377.325377325376,Old
788.0,2.0,40.0,16.9,75.7,9606.598984771574,Old
2219.0,2.0,18.0,15.5,109.0,4912.122577737719,Mid
2362.0,1.0,40.0,20.9,92.1,3899.237933954276,Old
768.0,2.0,7.0,16.8,53.2,6927.083333333333,New
2473.0,4.0,12.0,2.5,171.6,6938.940558026688,Mid
1746.0,1.0,16.0,24.6,109.2,6254.295532646048,Mid
2062.0,5.0,23.0,4.5,133.7,6483.99612027158,Mid
2448.0,5.0,27.0,15.5,152.6,6233.660130718954,Mid
1626.0,3.0,35.0,8.8,99.5,6119.311193111931,Old
1106.0,5.0,13.0,2.0,110.0,9945.750452079566,Mid
1111.0,4.0,19.0,12.8,80.0,7200.7200720072005,Mid
2037.0,4.0,39.0,19.6,112.1,5503.190967108493,Old
2132.0,3.0,1.0,16.1,99.3,4657.598499061914,New
1779.0,4.0,38.0,19.0,92.6,5205.171444631816,Old
2338.0,5.0,32.0,17.8,127.2,5440.54747647562,Old
2678.0,5.0,21.0,13.1,142.0,5302.464525765497,Mid
2376.0,3.0,22.0,16.9,128.2,5395.622895622895,Mid
1456.0,2.0,21.0,19.8,75.4,5178.571428571429,Mid
2965.0,3.0,28.0,23.0,135.6,4573.355817875211,Mid
2292.0,3.0,4.0,10.3,137.4,5994.764397905759,New
1949.0,1.0,16.0,14.8,96.5,4951.257054899948,Mid
2510.0,4.0,,14.2,145.2,5784.860557768923,
1652.0,4.0,5.0,9.6,108.3,6555.690072639225,New
588.0,1.0,34.0,16.4,43.1,7329.931972789115,Old
1972.0,4.0,30.0,8.1,131.5,6668.356997971602,Mid
1872.0,4.0,11.0,6.6,117.8,6292.735042735043,Mid
2829.0,3.0,29.0,8.8,149.6,5288.08766348533,Mid
2942.0,3.0,17.0,1.9,133.8,4547.926580557444,Mid
2182.0,3.0,11.0,18.2,102.8,4711.274060494959,Mid
613.0,1.0,32.0,18.8,43.2,7047.308319738989,Old
1614.0,1.0,12.0,13.7,70.5,4368.029739776952,Mid
2510.0,5.0,1.0,6.9,164.5,6553.784860557769,New
1240.0,2.0,14.0,12.9,61.7,4975.806451612903,Mid
670.0,5.0,32.0,3.0,65.5,9776.119402985074,Old
2506.0,1.0,18.0,18.0,128.5,5127.693535514764,Mid
568.0,2.0,17.0,11.8,36.7,6461.267605633803,Mid
1463.0,1.0,18.0,19.0,82.3,5625.427204374573,Mid
1331.0,2.0,20.0,1.7,71.4,5364.387678437266,Mid
843.0,4.0,12.0,7.0,78.8,9347.568208778173,Mid
2466.0,3.0,38.0,14.8,121.3,4918.89699918897,Old
1670.0,1.0,2.0,14.2,89.7,5371.25748502994,New
1248.0,3.0,13.0,21.8,96.5,7732.371794871795,Mid
1592.0,2.0,4.0,6.1,93.0,5841.708542713568,New
564.0,3.0,10.0,5.7,64.6,11453.900709219857,New
2392.0,4.0,14.0,16.0,141.4,5911.371237458194,Mid
1226.0,2.0,36.0,13.3,66.3,5407.8303425774875,Old
2903.0,4.0,28.0,18.1,150.3,5177.402686875646,Mid
848.0,2.0,24.0,3.0,47.7,5625.0,Mid
2796.0,4.0,0.0,9.5,140.1,5010.729613733905,
2657.0,5.0,25.0,9.3,151.2,5690.628528415506,Mid
985.0,1.0,33.0,11.3,57.2,5807.106598984771,Old
1075.0,3.0,18.0,,74.8,6958.139534883721,Mid
1323.0,5.0,23.0,8.2,93.5,7067.271352985638,Mid
1979.0,5.0,18.0,5.1,132.3,6685.194542698334,Mid
2050.0,3.0,6.0,15.5,103.0,5024.390243902439,New
2347.0,5.0,11.0,11.5,156.1,6651.043885811674,Mid
810.0,2.0,32.0,1.5,33.8,4172.839506172839,Old
533.0,4.0,22.0,8.2,69.3,13001.87617260788,Mid
1837.0,10.0,2.0,17.8,82.5,4491.017964071856,New
926.0,3.0,17.0,5.7,69.4,7494.600431965444,Mid
613.0,10.0,29.0,9.0,43.7,7128.874388254486,Mid
545.0,4.0,8.0,20.5,71.0,13027.522935779816,New
2165.0,4.0,7.0,7.6,115.4,5330.254041570439,New
1044.0,2.0,10.0,18.6,60.0,5747.126436781609,New
1473.0,1.0,24.0,10.5,85.0,5770.536320434488,Mid
2559.0,2.0,0.0,1.6,128.8,5033.216100039079,
2226.0,4.0,18.0,23.3,130.0,5840.071877807727,Mid
1045.0,5.0,13.0,19.7,82.9,7933.014354066987,Mid
2024.0,3.0,14.0,3.9,122.2,6037.549407114625,Mid
1956.0,2.0,27.0,2.2,99.1,5066.462167689161,Mid
992.0,3.0,30.0,22.3,69.4,6995.967741935485,Mid
1379.0,4.0,4.0,3.9,110.8,8034.807831762147,New
1871.0,1.0,16.0,19.4,76.1,4067.3436664885085,Mid
1465.0,2.0,19.0,13.5,84.5,5767.918088737201,Mid
2634.0,5.0,4.0,21.3,159.9,6070.615034168565,New
2256.0,1.0,26.0,21.9,96.5,4277.482269503546,Mid
1422.0,5.0,15.0,15.8,102.4,7201.12517580872,Mid
1049.0,2.0,12.0,1.6,83.7,7979.027645376549,Mid
1417.0,2.0,24.0,1.3,92.7,6541.9901199717715,Mid
