area_sqft,bedrooms,age_years,distance_city_km,price_lakh
2929,1,1,3.3,130.1
2736,1,4,5.7,128.2
2215,2,24,2.4,137.8
2155,1,5,19.1,114
980,2,27,18.6,64.8
541,4,34,18.1,73.5
2081,1,33,22.2,82.1
2666,4,25,18.7,137.4
1075,4,22,23.5,89.2
2791,2,13,21.1,130.6
1590,4,9,11.9,101.7
2610,1,38,6.5,97
1839,2,2,4,115.7
1592,5,37,21,106.3
2460,2,23,20.7,116
832,3,40,6.2,57.7
2390,2,37,9.3,109.4
1432,1,35,25,76.5
685,2,1,8.6,76.4
1300,3,27,9.7,92
1543,5,11,24.5,95.1
2781,3,37,3.9,152.5
1643,3,31,3.5,102.6
,4,12,18,135.5
2754,2,20,1.5,155.7
1983,1,28,1.9,84.1
783,4,24,15.1,77.4
1631,2,20,13.3,94.8
2085,4,29,6.5,108.2
2727,3,30,4.4,144.7
1995,5,17,19.1,128
2081,1,9,1.5,111.1
1899,4,0,7.2,132.5
1279,5,6,4.2,112
1294,4,24,21.4,95
1967,5,30,18.6,118.5
1051,3,35,17,54
2092,2,16,5.1,110.5
2936,5,5,12,158.3
1594,5,,3.3,122.6
2115,4,30,16.4,133.7
2695,5,22,14.9,163.6
2645,2,31,19.3,113
775,3,20,16.6,41.6
2057,1,17,6.3,116
888,1,15,8.6,24.4
1985,3,30,10.2,107.3
1082,4,16,4.2,83
2429,3,29,14.7,108.9
2080,5,8,17,143.6
2895,5,13,8.1,144.7
1281,2,34,19.1,73.1
2909,2,9,11.2,119.6
2085,1,20,7.2,105.1
2342,4,27,21.6,110.7
652,1,23,23.7,50.9
2897,3,7,2.8,155.7
2824,2,23,19.5,122.9
551,4,12,21.8,67.4
1823,2,39,11.8,71.5
2007,1,30,,98.9
1672,5,28,13.2,107.5
2970,1,4,13.4,140.1
1737,2,,19.1,103
2963,1,6,16.6,150.5
2288,3,21,13,115.8
2252,2,10,3,115.5
2135,4,23,8.7,114.4
2363,4,4,10,142.5
930,1,14,15.5,48.7
1201,3,9,11,71.7
805,5,17,6.4,83.7
2526,3,30,2.3,132.9
1536,2,24,12.1,86.5
2368,5,19,9.6,147.9
769,1,8,15.4,38.9
990,2,33,8.9,42.9
2744,4,4,19.8,144.7
644,1,23,12.2,42.3
749,1,12,24.1,58.9
2826,5,22,11,176.8
1739,1,27,20.9,78.6
655,3,38,23.1,55.3
1138,,4,12.7,68
2889,1,36,11.7,129
2663,1,39,,113.5
528,4,16,14.2,70.1
966,4,34,5.8,82.7
2790,5,9,1.7,153.3
2462,5,38,2.8,128.6
2979,4,9,24.4,153.5
754,3,26,19.7,46.4
2374,5,3,1.2,145.3
2407,3,,2.1,142.3
1590,4,9,11.9,101.7
2657,1,37,7.2,120.8
2165,3,37,11.2,111.5
1467,2,20,11.4,80
805,3,12,22.7,44.3
2465,1,5,6.5,113.3
2951,3,22,14.2,152.7
1510,5,15,20.9,101.7
1897,3,29,24.7,91.9
1896,2,13,3.7,116.4
2777,1,33,21.9,133.1
1380,4,11,25,90.4
1660,2,35,16.2,97.2
606,3,10,22.2,55.9
1674,5,28,3.6,110.4
2398,2,18,5.1,127.7
2234,5,15,,150.6
1394,4,27,23.3,108.1
2906,4,8,3.7,159.6
1863,5,37,7.1,131.8
2945,3,7,22.8,153.6
2572,5,36,22.3,143.8
1977,2,8,24.4,96
2276,1,12,8.8,99.2
2958,5,7,4,171.2
1555,2,12,14.4,103.9
2751,1,24,10.1,128
901,5,33,20.5,70.4
1187,3,33,22.2,61.2
2282,4,38,18.8,143.1
888,1,15,13.8,39.1
2796,3,30,3,137.8
2280,3,8,10.6,134.1
2753,3,24,23.2,140.5
608,1,8,9.2,40.3
1054,1,1,3.2,90.7
1812,2,3,17,112
1027,5,27,11.7,78.4
2075,3,9,15.4,122.2
2410,1,4,13.6,127.4
2384,1,36,14.9,107.3
2762,3,6,3.3,155.1
1001,4,16,9.1,104.9
1514,4,7,5,107.1
1316,5,40,19,71.6
1333,3,38,12.2,78.5
816,5,24,23.4,88.9
2407,1,4,16.2,111.8
2440,4,27,19.9,141.6
2952,3,16,18.3,132.1
1543,4,14,15.8,118.5
2374,1,2,15.7,103.7
811,4,3,6.6,94.4
2381,3,33,19.8,124.3
822,1,7,1.5,52.4
2655,4,14,24.2,137.8
2815,3,37,7.7,137
2642,5,21,20.9,141.6
2463,2,17,1.3,125.7
1884,5,23,9,127.6
2710,4,28,5.7,122.9
1781,1,1,9.5,90.9
1870,2,24,2.1,87.2
509,4,19,16.2,55.6
1955,2,6,17.5,101.8
866,4,22,11.4,53.8
1561,3,29,19.7,87.2
,3,16,6.2,138
1259,5,21,5,90.3
900,4,40,15.4,63.6
729,2,33,14.6,32
1852,4,35,4,103.4
543,3,14,15.2,35
1779,1,31,10.5,90.5
2613,3,31,4.6,144.1
1039,1,11,9.6,73.5
667,5,5,13.4,71.7
770,5,6,8.6,98.2
1646,1,33,22.5,52.5
2541,3,2,3,151
1191,10,24,4.8,81.3
2000,1,24,20.5,82.9
2137,4,29,22.6,118.4
1711,1,37,1.3,80.4
577,3,36,19.3,47.2
1402,3,7,5.1,101
688,2,16,16.6,60.2
1603,1,35,14.8,69.5
2486,3,25,22.9,116.6
2538,1,25,16,137.7
2707,2,25,12.4,134.1
1989,5,4,11.1,138.5
946,1,29,10.7,47.2
2352,5,28,20.8,118
1288,5,28,1.9,93.8
2253,4,28,3.2,128.3
1227,3,40,12.5,65.2
-500,5,28,13,123.8
1693,4,32,21.8,109.6
1233,4,6,19.7,92.3
1823,5,15,12.9,130.2
1072,2,38,9.1,60.8
1546,5,17,16.4,117.4
2899,4,24,4.2,155.1
2305,3,14,6.2,145.5
508,1,26,1.4,25.2
603,2,32,14.5,33.9
1864,2,31,9,101.5
2719,1,22,19.4,114.9
1559,4,7,24.3,100.5
2646,2,27,4.2,128.3
1030,4,10,13.4,81.2
1785,1,34,3.4,87.5
846,1,29,11.1,48
2050,1,29,9,94.9
2664,1,7,10.7,133.3
2849,5,32,18.6,153.2
788,2,40,16.9,75.7
2219,2,18,15.5,109
2362,1,40,20.9,92.1
768,2,7,16.8,53.2
2473,4,12,2.5,171.6
1746,1,16,24.6,109.2
2062,5,23,4.5,133.7
2448,5,27,15.5,152.6
1626,3,35,8.8,99.5
1106,5,13,2,110
1111,4,19,12.8,80
2037,4,39,19.6,112.1
2132,3,1,16.1,99.3
1779,4,38,19,92.6
2338,5,32,17.8,127.2
2678,5,21,13.1,142
2376,3,22,16.9,128.2
1456,2,21,19.8,75.4
2965,3,28,23,135.6
2292,3,4,10.3,137.4
1949,1,16,14.8,96.5
2510,4,,14.2,145.2
1652,4,5,9.6,108.3
588,1,34,16.4,43.1
1972,4,30,8.1,131.5
1872,4,11,6.6,117.8
2829,3,29,8.8,149.6
2942,3,17,1.9,133.8
2182,3,11,18.2,102.8
613,1,32,18.8,43.2
1614,1,12,13.7,70.5
2510,5,1,6.9,164.5
1240,2,14,12.9,61.7
670,5,32,3,65.5
2506,1,18,18,128.5
568,2,17,11.8,36.7
1463,1,18,19,82.3
1331,2,20,1.7,71.4
843,4,12,7,78.8
2466,3,38,14.8,121.3
1670,1,2,14.2,89.7
2965,3,28,23,135.6
1248,3,13,21.8,96.5
1592,2,4,6.1,93
564,3,10,5.7,64.6
2392,4,14,16,141.4
1226,2,36,13.3,66.3
2903,4,28,18.1,150.3
848,2,24,3,47.7
2796,4,0,9.5,140.1
2657,5,25,9.3,151.2
985,1,33,11.3,57.2
1075,3,18,,74.8
1323,5,23,8.2,93.5
1979,5,18,5.1,132.3
2050,3,6,15.5,103
2347,5,11,11.5,156.1
810,2,32,1.5,33.8
533,4,22,8.2,69.3
1837,10,2,17.8,82.5
926,3,17,5.7,69.4
613,10,29,9,43.7
545,4,8,20.5,71
2165,4,7,7.6,115.4
1044,2,10,18.6,60
1473,1,24,10.5,85
2559,2,0,1.6,128.8
2226,4,18,23.3,130
1045,5,13,19.7,82.9
2024,3,14,3.9,122.2
1956,2,27,2.2,99.1
992,3,30,22.3,69.4
1379,4,4,3.9,110.8
1871,1,16,19.4,76.1
1465,2,19,13.5,84.5
2634,5,4,21.3,159.9
2256,1,26,21.9,96.5
1422,5,15,15.8,102.4
1049,2,12,1.6,83.7
1417,2,24,1.3,92.7
1623,1,38,13.2,93.2
1604,5,35,7.4,98
2256,3,25,2.3,118.2
560,3,28,18.9,48.9
1930,1,8,2.4,98.8
2708,4,40,11.3,149.1
1027,5,39,5,92.4
1701,3,36,9.9,92.2
2531,2,39,5.7,133.2
2838,1,22,12.6,152.6
606,5,30,5.3,73.7
2006,3,9,22,72.5
2404,5,20,15.8,135.7
1336,5,7,14.9,102.5
2110,4,23,19.2,137.6
1975,1,26,6.7,75.7
1116,1,11,15.5,57.4
2857,3,24,23.9,158.3
2304,1,40,23.4,89.8
1000,5,28,13.9,82
876,4,7,3.2,76.8
692,4,24,19.4,68.3
2452,2,2,17.3,128.7
2043,2,31,12.4,75.3
2521,1,11,6.2,136.4
2330,4,34,14.3,128.6
1145,1,18,4.9,62.7
1446,3,27,2,84.2
1408,2,39,21.3,64.3
1266,4,4,15.1,85.3
1950,1,14,6.1,103.1
1229,4,12,2.7,103.3
2737,3,2,18.6,128.8
2374,1,2,15.7,103.7
1799,3,14,1.2,126.7
1726,2,23,2,93.5
2555,1,37,4.9,120.8
2906,4,8,3.7,159.6
822,2,21,10.1,64.5
2138,1,16,21.5,98
1091,2,37,4.3,57.8
2619,2,23,17.9,122.8
1626,,3,2,102
2157,3,39,14.5,97.7
2624,3,17,5.2,140.3
2142,2,1,5.5,103.3
2865,4,18,12.2,157
2859,4,37,21.5,153.8
,3,34,6.8,117.7
1850,5,37,15.3,108.9
2821,2,26,21.6,143.7
1508,2,24,17.3,74.3
1553,1,1,22.5,59.6
1036,2,11,2.7,57.8
959,5,9,5.5,96.3
1523,3,5,21.2,81.1
504,1,34,7.9,37.3
2010,4,3,10.5,127.5
2614,2,15,8,145.7
2075,5,15,1.1,129.6
1175,4,18,24.4,74.7
2830,3,21,23.2,123.2
675,4,38,7.8,56.8
892,3,29,9.8,69.3
1768,5,5,25,131.1
760,3,28,3.5,63.4
510,2,15,6.9,70.9
739,5,11,22.1,78.1
2029,4,5,12.4,125.5
976,4,32,7,72.2
2619,2,28,2.7,145.5
1754,1,14,3,85.4
703,2,3,15.5,73.2
1195,2,14,12.1,79.5
2666,3,5,17.5,143.2
1279,3,2,16.7,77.2
1521,1,4,20.1,84.7
1113,1,14,24.2,62.8
1265,3,35,9.4,81.1
655,4,4,7,68.3
2657,5,38,7.7,151.1
2831,4,1,15.7,157.7
1705,3,7,3.6,100.5
1473,5,11,9.7,100.8
2197,5,13,22.7,134.8
2990,3,38,7.7,128.6
630,3,29,10.2,41.4
1896,2,13,3.7,116.4
2418,2,13,8.6,118.4
1100,4,11,6.7,77
976,2,27,15.4,76.2
1139,3,33,10.4,84.2
1844,1,40,23.1,71.7
2612,3,15,16.2,119.6
2579,4,20,7.3,140.5
1809,3,11,9.1,92.8
2489,5,10,6.2,167.7
-500,3,32,25,59.5
1574,1,0,11.9,82.1
2943,3,12,1.9,157.9
1747,4,18,18.4,97
705,5,19,24,81.7
2981,5,17,10.6,176.2
2261,2,38,13.9,112.3
1840,1,40,16,58.8
1758,1,9,11.7,102.1
1207,4,5,3.5,80
565,4,1,5,69.1
1475,5,34,19.2,96
512,4,7,1.3,73.1
2170,5,4,20.5,141.2
1133,3,29,13.5,71.1
2265,4,20,6.4,133.4
1324,4,6,5.1,96.1
2524,5,21,23.4,141
1307,3,17,3.9,82.9
1988,3,13,15.1,114.2
2750,5,11,23.7,161.4
1215,3,35,10,70
2392,2,30,23.4,119.4
1564,4,2,16.7,101.6
2171,3,32,23.8,109.1
2287,3,32,5.5,132.4
2121,1,11,10.4,-20
1167,1,18,22.5,83.9
2498,4,27,22.8,142.5
2880,1,13,2.3,136.6
2184,2,19,23.5,121.4
886,2,11,12.7,38.9
2605,3,5,,151.4
690,1,35,14.9,26.6
2329,2,24,11.6,116.1
1095,3,29,12.3,70.3
2457,5,6,24.2,165.8
909,5,10,15.4,88.5
860,5,3,6.1,101.7
1302,5,19,6.9,97.1
2609,4,18,14.7,148
2301,2,25,19.2,129.3
2788,4,16,2.2,152.2
1923,5,5,22.3,126.8
684,4,17,21.1,77.2
2066,4,28,16.9,130.9
1338,2,30,7.7,77.6
2430,2,4,16.4,134.1
634,4,32,5.3,56.7
,,29,5.1,79.9
502,1,32,23.6,22.4
2610,2,17,22.1,108.8
1146,4,17,10.6,89.1
2427,2,38,23.2,107.6
1773,5,6,12.5,114.8
1301,5,29,21.8,101.2
2228,2,25,10.1,93.2
1571,1,34,1.6,81.6
2761,2,23,10.7,126.3
2506,2,19,23.6,114.1
2322,1,39,13.1,105.9
771,5,19,19.7,75.8
2546,3,11,1.2,155.3
2331,1,5,1.1,123.2
524,1,40,21.9,25.5
2600,3,37,22.8,118.6
1789,2,6,24.5,97.2
1837,2,35,9.6,96
1331,1,8,4.9,83.7
943,,0,21.3,82.8
2651,5,39,16.4,137
1199,5,18,6.5,107.2
1628,5,23,11.3,124.7
645,1,36,4.9,69.8
-500,5,34,12.7,101.4
1005,3,26,3.5,65
2012,2,15,12.6,103.3
2962,3,37,15.5,146.3
1647,2,12,5.1,88
2495,1,31,20.2,108.5
2066,1,21,21,115
2310,2,9,17.4,110.1
1199,5,18,6.5,107.2
951,4,38,17.2,85.7
2056,2,10,15.2,123.9
1290,3,23,5.2,92.3
1064,4,12,18.1,71
1271,4,34,5.7,96.4
1084,1,29,6.2,61
1890,5,25,16.8,119.5
811,3,6,19.3,-20
1772,1,30,22.1,66.4
2552,2,5,12.4,142.2
777,3,35,13.8,50.3
,3,33,19.3,78.2
1766,2,35,14.2,82.5
2613,3,36,23.5,122.1
690,1,35,14.9,26.6
964,5,33,20.2,84.9
2072,3,0,11.9,128.9
2139,2,20,3.5,103.7
2448,3,22,13,124.3
1471,,6,12.3,95.4
1997,4,21,20.2,120.9
2834,2,28,17.1,138.9
832,1,2,17.2,43.5
1440,4,35,21.5,76.2
2150,5,16,8.2,143.8
1887,4,7,23.6,89.2
1165,4,14,15.2,100.6
2289,2,1,8,113.9
2854,4,20,21.6,138.3
2890,1,29,16.9,120.9
2454,2,7,12.1,117.7
1859,1,32,12.7,98.8
749,3,8,20.8,56.1
1161,5,23,11.1,97.1
2058,2,26,22.3,103.8
1824,5,0,6,119.5
1128,1,36,14.1,46.4
2491,5,32,12.3,135.8
1703,2,25,2.5,103.6
1128,2,34,13.5,61
2826,5,22,11,176.8
1495,3,34,10.1,89.1
1367,4,9,6.7,109.9
981,4,0,14.8,96.4
1988,,32,14.9,94.4
2198,4,31,2.2,129.2
2703,2,13,21.8,127.2
2728,4,19,12.6,140.4
1449,1,17,1.4,62.5
2724,2,2,10.2,123.4
1300,4,30,5.5,91.9
904,3,39,12.2,64.9
900,4,5,15.6,75.5
1407,4,19,16.5,89.6
1473,1,24,10.5,85
2776,5,36,3.1,154.8
2035,3,25,13.7,90.6
2533,5,10,14.2,153.6
1736,5,16,10.4,123.7
744,4,40,13.4,54.4
2373,4,21,5.9,135.1
1259,1,5,22.3,71.5
2167,4,35,4.2,120.7
822,3,1,11.5,67.4
1754,3,11,8.4,113
2301,5,36,7.7,132.8
2885,5,9,23.4,165.4
2136,1,16,13.9,-20
1444,5,22,1.7,102
2400,2,9,10.2,111.4
2269,5,10,6.4,133.9
1413,4,6,8.4,100.2
925,4,37,1.3,70.4
1877,4,27,6.1,112.4
582,5,26,16.4,77.6
1293,5,1,16,109.8
2800,5,38,5,159.7
1628,4,20,8,121
1060,4,24,7.2,90.2
1107,4,34,1.9,76.8
1267,3,34,8.1,72.4
1272,3,21,14.5,89.8
1949,2,8,2,103.4
631,3,30,22.1,47.5
2167,3,1,11.5,141
1871,4,38,2.9,113.9
1866,5,27,20.4,100.7
2959,2,39,8.8,138.3
529,1,28,19.4,38.3
1216,5,2,13.5,96
1596,5,31,3.7,121.1
1432,2,33,7.9,91.4
997,4,23,11.9,78.8
,2,29,5.2,62.5
2754,2,20,1.5,155.7
1866,2,24,18.1,86.2
2929,1,6,4.5,138.9
1957,5,2,7.4,119.5
1194,4,27,15.9,79.2
940,1,33,10.5,49
2748,2,34,10.8,135.5
2200,1,28,11,92
2067,3,16,17.3,102.1
1933,5,28,14.7,121
1754,4,11,16.3,101.6
2426,4,38,17.4,114.1
2674,3,5,1.2,128.4
835,2,35,17.1,37.7
1757,1,6,8.9,100.4
2137,3,21,10.7,130.6
1355,4,39,4,86
1219,3,33,12.5,80.7
2213,3,4,21.5,110.8
2672,2,27,21.9,115.8
2863,5,12,10.4,147
2054,1,35,22.6,92.1
712,5,33,20.5,66.7
920,5,8,18,88
2242,4,18,1.9,130.4
2716,3,4,24.7,139
1403,1,3,5.9,83.5
881,4,32,12.3,59.3
2210,1,33,2.6,107.6
659,1,21,10.2,35.8
1770,3,14,14.9,106.4
1792,5,17,12.9,110.5
2080,3,16,4.6,113.7
,5,17,24.8,123.1
2517,3,32,16.9,118.3
2547,2,28,19.6,126.7
1852,4,22,14.5,92.8
2337,4,12,20.8,122.4
2557,4,36,2.5,152.2
1863,2,35,8.6,93.3
2857,1,12,22.2,121
2706,4,28,6.1,172.5
2661,3,24,8.4,137.5
1476,4,18,15.6,104.9
514,3,19,17.7,49.5
547,4,33,19.9,68.3
2018,4,12,11.2,132.3
2227,2,23,2.1,131.2
680,1,11,18.2,56.3
2641,3,20,15,134.7
2356,3,27,9,134.8
1558,5,22,9.5,117.2
2572,5,36,22.3,143.8
1974,3,31,9.3,107.7
2195,1,34,6.8,75
1871,4,31,16.5,112.7
1530,4,35,14.2,92.8
964,1,8,4.1,49.6
1757,3,7,24.9,107.8
1124,2,17,19.9,85.8
1258,2,39,12.7,63.9
1011,4,7,8.4,104.6
1519,2,34,9,73.7
1641,4,10,23.9,112.4
1283,2,17,22.6,82.1
1598,5,20,21.7,98.8
1999,5,33,10.3,133.7
1268,2,26,16.7,85.4
2840,1,27,7,133.1
2659,2,37,23.1,139.1
603,2,31,23.4,40.9
961,3,0,7.3,72.9
788,3,12,23.5,66.8
2772,3,27,24.9,121.6
1814,4,0,23.9,109.1
2157,2,1,14.5,127.2
2644,3,14,14.6,-20
2807,5,13,22.2,145.7
1512,5,40,19.1,91.6
1258,4,9,14.9,84.5
1788,5,16,21.4,113.3
2560,5,23,21.5,129.7
1229,4,38,14.9,65.6
1798,1,9,3.8,83.9
515,1,0,17.6,30.4
1225,1,4,23,76.9
2462,2,23,17.5,121.6
599,4,27,21,53.3
2787,4,9,2.1,169.1
1744,4,12,22.9,107.2
2743,2,21,13.9,131.5
849,3,19,8.6,69.4
1696,5,30,14.6,122.2
2427,3,10,20.5,121
2464,1,18,15.5,107.8
738,2,37,3.1,55.5
646,2,17,20.6,50.6
2613,3,31,4.6,144.1
2356,3,0,13,130.8
1472,5,3,12.2,102.5
1745,1,36,2.2,102.8
1008,4,3,22.1,62.7
2354,1,28,16.3,111.5
2949,1,21,4.5,139.2
2392,1,12,11.7,131
1366,3,6,6.6,92.6
589,1,,9.1,51.2
777,3,17,1.2,60.2
664,4,22,17.1,44
1930,3,40,18.8,109.7
1493,3,22,10.5,95.3
682,5,21,22.6,59.4
1410,4,14,6.1,76.9
545,3,18,10.1,45.3
2455,3,2,16.9,120.7
2423,2,11,18.1,113.9
1542,3,14,8.3,94
2098,1,,14.5,114.1
1363,3,28,16.5,77.3
1827,4,1,19.9,122.8
1747,3,29,5.8,106.1
2523,5,13,21,144.5
1529,3,16,10.5,107.3
872,10,2,10.1,71.7
1772,5,26,22.7,112.2
569,1,22,21.1,34.6
1407,1,12,21,82.5
1213,3,34,1.2,82.5
2023,5,35,6.5,119.8
1653,5,38,20.5,95.8
1791,1,16,6.7,87.6
1868,2,6,8,89.4
2924,5,30,19.9,177
2120,2,4,13.9,120.6
,3,18,23.4,57.7
1800,3,4,12.4,102.7
2627,,31,16,146.2
797,1,12,20.3,51.1
1216,3,21,18.7,50.1
504,3,21,3.4,-20
694,2,27,5.7,64.2
1791,3,34,1.4,95.7
1598,1,37,7.4,70.4
1516,4,21,10.7,90.5
2984,4,9,8.8,162.5
1818,5,4,9.8,128.9
2609,1,10,6.1,116.1
2036,5,34,18.7,127
587,2,26,10.7,46.9
916,2,10,13.5,52.8
1053,1,3,7.8,65.7
1548,5,7,2.6,114.6
1416,4,2,17.3,102.2
1574,5,22,15.1,94.4
1201,3,1,6.3,85.8
2834,3,25,15.4,143.4
2860,5,6,13.9,172.6
1020,4,21,11.5,79.9
2425,1,11,21.9,111.2
2423,2,32,19.6,110
2741,4,21,3.3,152.5
1702,1,3,23.2,90.9
1707,2,10,23.5,86.8
1891,1,35,21.8,69.9
1579,3,23,24.6,90.4
1881,1,8,4.8,78
1982,3,36,12.7,98.7
1996,5,12,9.8,116.5
1809,3,21,8,115.7
1746,3,20,13.3,93.1
2741,1,24,18.6,114.7
2613,1,7,2.3,139.1
1395,1,8,7.8,85
894,2,32,13.7,57.8
1180,2,23,9.9,74
2535,2,8,7.3,124
885,5,9,8.7,84.6
2396,5,17,21.2,140.3
2250,4,36,20.1,127.8
1514,4,39,12.9,100.7
2203,3,13,,117
1801,5,19,12.6,122.5
845,1,12,23.4,54.8
1733,5,5,7.4,131.1
1700,5,40,24.7,108.2
1470,2,18,23.5,70.8
2110,4,15,18.9,107
2516,3,34,3.1,122.4
1852,1,14,7.1,88.3
1639,10,40,13,111.2
1364,5,39,22.3,106
2477,2,38,6.4,134
2553,,27,20.3,127.7
2948,5,17,15.6,162.9
1266,5,1,1.7,119.1
864,1,18,15,57.9
2487,4,21,13.6,145.6
2644,1,8,11.2,133.8
2964,5,26,22.2,163.9
1004,5,34,24.3,58.8
648,4,19,3.2,45.9
838,5,33,16.3,90.8
1657,3,39,19.1,72.6
2394,3,1,19.6,136.7
2677,3,4,18,136.2
1786,3,28,12.2,118.9
820,2,4,11.4,42
1207,3,19,18.3,88.5
1605,3,0,1.3,94.5
964,5,5,19.8,93.1
2367,3,28,2.4,143.1
1052,1,29,24.8,56.4
2760,2,9,17.4,123.6
2148,4,37,20.3,110.6
746,2,16,3.9,70.5
2074,1,29,11.3,87.7
1109,4,29,9.1,92.7
1942,2,11,13.4,100
1766,1,10,6.3,103.9
1709,2,2,24.5,87.4
1996,4,24,18.4,119.5
1506,3,31,24.2,73
2535,2,8,7.3,124
1669,5,5,22.1,136
2649,4,33,15.2,159.7
2867,5,29,15.1,148.6
2954,1,23,3.2,130.9
1510,4,21,23.5,103.7
989,5,15,9.4,106.5
1863,,13,18.8,103
1871,2,4,7.7,93.9
2508,4,39,9.8,142.3
2066,1,21,21,115
823,4,5,23.7,89.5
2611,1,10,4.3,120.2
2336,2,7,12.6,116.5
942,3,8,8,88.1
1619,2,40,16.2,89.7
1389,2,16,5,69.4
-500,2,9,7.5,79.9
867,4,5,9.5,66.1
2435,5,9,12.5,142
1898,2,4,8.5,95.6
1075,4,8,1.8,82.7
1766,4,26,5.4,116.6
2085,1,27,17.9,98.7
1584,4,29,4.2,98.2
1687,5,9,19.3,111.7
1433,2,4,7.3,107.2
691,2,1,15.8,48.5
1562,4,21,24.6,103.8
1311,4,4,,95.1
2045,2,28,14.7,103.4
1464,5,4,19.5,112.9
1696,2,22,22.6,77.9
1902,4,24,22,113.4
1255,4,25,18.7,106.8
1816,1,23,18,78.7
1860,4,20,19.5,119.1
1071,5,6,23.6,75.6
2514,4,35,3.9,136.3
